"Story","Title","Result","Date","Stability","Duration (s)"
"Booking CURD test","Create a new booking","SUCCESS","2023-01-09T20:10:08.946Z[Europe/London]","0.0","7.04"
"Booking CURD test","Get the booking","SUCCESS","2023-01-09T20:10:16.012Z[Europe/London]","0.0","0.65"
"Booking CURD test","Update the booking","SUCCESS","2023-01-09T20:10:16.662Z[Europe/London]","0.0","1.01"
"Booking CURD test","Update the partial booking","SUCCESS","2023-01-09T20:10:17.672Z[Europe/London]","0.0","0.99"
"Booking CURD test","Delete the booking","SUCCESS","2023-01-09T20:10:18.664Z[Europe/London]","0.0","0.93"
"Booking data driven test","Data Driven test for adding multiple bookings to the application","SUCCESS","2023-01-09T20:10:23.998Z[Europe/London]","0.0","15.31"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-01-09T20:10:24.863Z[Europe/London]","0.0","0.58"
"Testing different request on the restful booker app","As a user I am creating authorization token","SUCCESS","2023-01-09T20:10:25.596Z[Europe/London]","0.0","0.71"
"Testing different request on the restful booker app","As a user I am creating booking and verify booking is made","SUCCESS","2023-01-09T20:10:26.417Z[Europe/London]","0.0","2.44"
"Testing different request on the restful booker app","As a user I update a booking with firstName","SUCCESS","2023-01-09T20:10:28.926Z[Europe/London]","0.0","0.5"
"Testing different request on the restful booker app","As a user I updated partial booking with lastName","SUCCESS","2023-01-09T20:10:29.516Z[Europe/London]","0.0","0.53"
"Testing different request on the restful booker app","As a user I delete the booking","SUCCESS","2023-01-09T20:10:30.121Z[Europe/London]","0.0","0.95"
"Testing different request on the restful booker app","CRUD Test","SUCCESS","2023-01-09T20:10:31.153Z[Europe/London]","0.0","4.72"
